,date,home_team,away_team,score,odd_1,odd_N,odd_2,winner,league_season,game_url
1049,19.10.2002,Manchester City,Chelsea,0:3,2.83,3.08,2.48,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-chelsea/KIHgxF7M/
1050,19.10.2002,Sunderland,West Ham,0:1,2.26,3.15,3.33,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/sunderland-west-ham/lhMcyZMS/
1051,19.10.2002,West Brom,Birmingham,1:1,2.46,3.03,2.87,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-birmingham/j18PWhVq/
1052,07.10.2002,Manchester Utd,Everton,3:0,1.33,4.77,8.56,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-everton/8U2Qtwgi/
1053,06.10.2002,Arsenal,Sunderland,3:1,1.25,5.30,9.72,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-sunderland/f7vJxrHB/
1054,06.10.2002,Aston Villa,Leeds,0:0,2.75,2.95,2.70,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/aston-villa-leeds/8ArNy2WH/
1055,06.10.2002,Blackburn,Tottenham,1:2,2.42,3.07,2.93,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-tottenham/066jKZ0p/
1056,06.10.2002,Fulham,Charlton,1:0,1.78,3.40,4.53,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-charlton/CrkEwO15/
1057,06.10.2002,Liverpool,Chelsea,1:0,1.75,3.50,4.60,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-chelsea/vc5fJgGj/
1058,05.10.2002,Middlesbrough,Bolton,2:0,1.65,3.53,5.40,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-bolton/voZls62t/
1059,05.10.2002,Newcastle,West Brom,2:1,1.55,3.67,6.30,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-west-brom/M9OgtQHn/
1060,05.10.2002,Southampton,Manchester City,2:0,2.40,3.10,2.92,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-manchester-city/00NcupXh/
1061,05.10.2002,West Ham,Birmingham,1:2,1.88,3.27,4.06,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-birmingham/UZR1v4na/
1062,30.09.2002,West Brom,Blackburn,0:2,2.60,3.03,2.78,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-blackburn/4hrNonfP/
1063,28.09.2002,Birmingham,Newcastle,0:2,2.65,3.00,2.70,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-newcastle-utd/nXVWM2HO/
1064,28.09.2002,Bolton,Southampton,1:1,2.08,3.22,3.53,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-southampton/vHNfTnYt/
1065,28.09.2002,Charlton,Manchester Utd,1:3,4.77,3.53,1.72,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/charlton-manchester-united/I7MbS6mm/
1066,28.09.2002,Chelsea,West Ham,2:3,1.57,3.70,6.03,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-west-ham/0WB3RQ2g/
1067,28.09.2002,Everton,Fulham,2:0,2.45,3.12,2.87,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/everton-fulham/IivGQpIa/
1068,28.09.2002,Leeds,Arsenal,1:4,2.87,2.93,2.55,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/leeds-arsenal/MNLTXSPP/
1069,28.09.2002,Manchester City,Liverpool,0:3,3.22,3.15,2.30,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-liverpool/CEwKP4X5/
1070,28.09.2002,Sunderland,Aston Villa,1:0,2.58,2.93,2.83,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/sunderland-aston-villa/j5xOOOnC/
1071,28.09.2002,Tottenham,Middlesbrough,0:3,1.81,3.40,4.40,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-middlesbrough/8tXSNr2I/
1072,23.09.2002,Fulham,Chelsea,0:0,2.87,3.02,2.45,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-chelsea/rXMPY8AJ/
1073,22.09.2002,Aston Villa,Everton,3:2,1.90,3.25,4.10,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/aston-villa-everton/O6GUA5IC/
1074,22.09.2002,Blackburn,Leeds,1:0,2.85,3.00,2.51,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-leeds/xAKY9PXI/
1075,21.09.2002,Arsenal,Bolton,2:1,1.27,5.00,9.46,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-bolton/MgAZJ9eQ/
1076,21.09.2002,Liverpool,West Brom,2:0,1.35,4.67,8.07,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-west-brom/dn11FT3s/
1077,21.09.2002,Manchester Utd,Tottenham,1:0,1.51,3.90,6.70,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-tottenham/j905EmJm/
1078,21.09.2002,Middlesbrough,Birmingham,1:0,1.83,3.30,4.37,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-birmingham/YHNHD7Yg/
1079,21.09.2002,Newcastle,Sunderland,2:0,1.69,3.53,4.93,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-sunderland/vVKUKktK/
1080,21.09.2002,Southampton,Charlton,0:0,2.15,3.20,3.37,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-charlton/jgIMCRm0/
1081,21.09.2002,West Ham,Manchester City,0:0,2.26,3.17,3.23,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-manchester-city/UqHQBo36/
1082,16.09.2002,Birmingham,Aston Villa,3:0,2.68,2.87,2.72,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-aston-villa/0vMQLVQD/
1083,15.09.2002,Manchester City,Blackburn,2:2,2.03,3.20,3.63,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-blackburn/UF5WcSY6/
1084,15.09.2002,Tottenham,West Ham,3:2,1.79,3.43,4.50,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-west-ham/864zcnlD/
1085,14.09.2002,Bolton,Liverpool,2:3,4.23,3.30,1.85,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-liverpool/Ecnr7WBK/
1086,14.09.2002,Charlton,Arsenal,0:3,4.57,3.50,1.76,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/charlton-arsenal/hlon6jRQ/
1087,14.09.2002,Chelsea,Newcastle,3:0,2.03,3.20,3.60,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-newcastle-utd/dIk71AZs/
1088,14.09.2002,Everton,Middlesbrough,2:1,2.37,3.13,3.00,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/everton-middlesbrough/vRCJ0Ull/
1089,14.09.2002,Leeds,Manchester Utd,1:0,2.77,3.00,2.53,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/leeds-manchester-united/Kzmv8CdE/
1090,14.09.2002,Sunderland,Fulham,0:3,2.28,3.13,3.25,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/sunderland-fulham/YmCNal4f/
1091,14.09.2002,West Brom,Southampton,1:0,2.25,3.12,3.27,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-southampton/niGRb8J0/
1092,11.09.2002,Aston Villa,Charlton,2:0,1.92,3.23,3.90,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/aston-villa-charlton/AuU2NjfA/
1093,11.09.2002,Blackburn,Chelsea,2:3,2.61,3.03,2.58,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-chelsea/jHjw2M8e/
1094,11.09.2002,Fulham,Tottenham,3:2,2.60,3.02,2.63,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-tottenham/42T6MA9G/
1095,11.09.2002,Liverpool,Birmingham,2:2,1.32,4.83,8.30,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-birmingham/Kjes1tO1/
